t,x,y,z,speed_mps
1.120133332365702046e+02,-2.329522797718726945e+00,2.490141010111844722e+01,2.460888913236683706e+01,6.915471648814968120e-01
1.125133332365702046e+02,-1.003280147368416086e+00,2.177322237489099166e+01,2.484883415649030169e+01,1.050284708387617671e+00
1.130133332365702188e+02,1.232776411946015394e+00,1.812453096810571651e+01,2.509138588522500868e+01,1.428981224980765852e+00
1.135133332365702188e+02,4.119439839184106944e+00,1.409408775191937835e+01,2.537365557257453474e+01,1.753095778462085974e+00
1.140133332365702330e+02,6.639955537343066538e+00,1.039875136850659310e+01,2.593797753580166088e+01,1.781611295326535505e+00
1.145133332365702330e+02,8.258757828588800365e+00,7.177355248340735017e+00,2.668553816139106871e+01,1.594120631671630761e+00
1.150133332365702472e+02,9.297148905386086071e+00,4.252621489517888875e+00,2.758119290710378024e+01,1.407566482476430014e+00
1.155133332365702472e+02,9.879409243737569568e+00,1.180814548911364392e+00,2.838536905072001204e+01,1.330004139004539176e+00
1.160133332365702614e+02,1.064835223945083520e+01,-2.253125856075524069e+00,2.923699743753966374e+01,1.399071127841431839e+00
1.165133332365702614e+02,1.204496013066947846e+01,-5.997468611296132401e+00,2.972558038828956128e+01,1.519380880951613610e+00
1.170133332365702756e+02,1.368387293400032156e+01,-9.978466680714648263e+00,3.018219200119342815e+01,1.643062732124709990e+00
1.175133332365702756e+02,1.514758268516519202e+01,-1.410796455703429153e+01,3.054155648086469199e+01,1.710636197327892738e+00
1.180133332365702898e+02,1.624715271325609933e+01,-1.779370246135867717e+01,3.100106083505577459e+01,1.614661112817005639e+00
1.185133332365702898e+02,1.693665190731302062e+01,-2.093764795554733027e+01,3.138981897912499619e+01,1.425156547887808545e+00
1.190133332365703041e+02,1.712582187701137570e+01,-2.307503075973333750e+01,3.148059768141661507e+01,1.085957888713042330e+00
1.195133332365703041e+02,1.711186349641928928e+01,-2.366854576819046230e+01,3.117202067840960567e+01,5.821838027024639484e-01
1.200133332365703183e+02,1.710454444752267023e+01,-2.416863070314154882e+01,3.086530150831138641e+01,3.657429973849058991e-01
1.205133332365703183e+02,1.652203401011477268e+01,-2.445261872698255345e+01,3.167564296162852955e+01,2.914182060992590029e-01
1.210133332365703183e+02,1.553475054940440714e+01,-2.528087158321747907e+01,3.095675965564366905e+01,4.148177864092436606e-01
1.215133332365703325e+02,1.358412347729222702e+01,-2.553707153534994490e+01,2.970680432392805770e+01,6.922378146373093788e-01
1.220133332365703325e+02,1.173172009265217497e+01,-2.557479970453113083e+01,2.908962424122565338e+01,7.360680537264535639e-01
1.225133332365703467e+02,1.031301488841192793e+01,-2.562934366072972381e+01,2.900026609227613150e+01,6.280676072639493901e-01
1.230133332365703467e+02,9.100817375191917691e+00,-2.476980663873562705e+01,2.888467756635044026e+01,5.734179640039498427e-01
1.235133332365703609e+02,8.158666650630182815e+00,-2.370366970912769489e+01,2.884093730912258380e+01,5.519757433583023509e-01
1.240133332365703609e+02,7.335636832867701962e+00,-2.246832945063607667e+01,2.887898251545936290e+01,5.678147317538355665e-01
1.245133332365703751e+02,6.955886187388385267e+00,-2.091879677253611902e+01,2.903194666129047263e+01,5.935943659467464162e-01
1.250133332365703751e+02,6.488418855632748894e+00,-1.910213260883279318e+01,2.888172126141075680e+01,6.838843964617603577e-01
1.255133332365703893e+02,5.607577574403736165e+00,-1.724080719596711830e+01,2.839322989305681588e+01,7.748998784411693652e-01
1.260133332365703893e+02,4.668727671421177838e+00,-1.526791058983378235e+01,2.818074084800850443e+01,8.352035304058300635e-01
1.265133332365704035e+02,3.709700163951245688e+00,-1.283450205847627146e+01,2.795022720026778629e+01,9.618539220977312398e-01
1.270133332365704035e+02,2.873172910706831118e+00,-9.994476284512314734e+00,2.747967611033259061e+01,1.100173916580930111e+00
1.275133332365704177e+02,2.179372460117952937e+00,-6.731750416442018548e+00,2.707406138824654818e+01,1.242347814503250047e+00
1.280133332365704177e+02,1.717007836201891680e+00,-3.393742803473691616e+00,2.649779711770629120e+01,1.314040752092470843e+00
1.285133332365704177e+02,1.258839713111788550e+00,-4.352681380374348041e-01,2.595186802042123020e+01,1.256632902283471909e+00
1.290133332365704462e+02,7.355389253303816766e-01,2.561196488175734753e+00,2.542189531496849852e+01,1.243877470926700868e+00
1.295133332365704462e+02,-3.731533529625596923e-01,6.577357307926806840e+00,2.523764694054182911e+01,1.490181096678899086e+00
1.300133332365704462e+02,-2.221435566233968650e+00,1.156647784471693541e+01,2.518189677659529124e+01,1.863008253144305071e+00
1.305133332365704462e+02,-3.676125924600898376e+00,1.557324384117402261e+01,2.481199805774021172e+01,1.772708907671026735e+00
1.310133332365704462e+02,-4.916433903563099506e+00,1.903613341837038320e+01,2.414016670752194571e+01,1.606363020982811918e+00
1.315133332365704746e+02,-6.162145525964258574e+00,2.263714576312887417e+01,2.355932147498704410e+01,1.568096034044919929e+00
1.320133332365704746e+02,-7.376530029933756616e+00,2.578205263126783109e+01,2.316684028357931879e+01,1.443449386834821935e+00
1.360133332365705314e+02,5.591711477215941528e+00,3.641554663588654250e+01,2.274275185455746140e+01,3.222107898046823404e+00
